outfit_id,category,link,color_chip_id
133,0,http://www.uniqlo.com/tw/store/goods/400504,03
133,0,http://www.uniqlo.com/tw/store/goods/404165,01
134,0,http://www.uniqlo.com/tw/store/goods/401845,05
135,0,http://www.uniqlo.com/tw/store/goods/400511,57
135,0,http://www.uniqlo.com/tw/store/goods/400634,38
135,0,http://www.uniqlo.com/tw/store/goods/401841,35
135,1,http://www.uniqlo.com/tw/store/goods/400137,34
135,-1,http://www.uniqlo.com/tw/store/goods/400042,45
135,-1,http://www.uniqlo.com/tw/store/goods/400045,08
136,0,http://www.uniqlo.com/tw/store/goods/400339,17
136,1,http://www.uniqlo.com/tw/store/goods/400132,65
137,2,http://www.uniqlo.com/tw/store/goods/400711,21
137,2,http://www.uniqlo.com/tw/store/goods/400171,06
137,2,http://www.uniqlo.com/tw/store/goods/400347,03
137,3,http://www.uniqlo.com/tw/store/goods/400551,01
137,-1,http://www.uniqlo.com/tw/store/goods/400044,03
138,2,http://www.uniqlo.com/tw/store/goods/402671,69
138,2,http://www.uniqlo.com/tw/store/goods/400744,36
138,3,http://www.uniqlo.com/tw/store/goods/400447,19
138,-1,http://www.uniqlo.com/tw/store/goods/401361,32
139,0,http://www.uniqlo.com/tw/store/goods/404163,43
139,0,http://www.uniqlo.com/tw/store/goods/407708,01
140,0,http://www.uniqlo.com/tw/store/goods/400511,69
140,0,http://www.uniqlo.com/tw/store/goods/400644,69
140,1,http://www.uniqlo.com/tw/store/goods/400137,34
141,0,http://www.uniqlo.com/tw/store/goods/400339,58
141,0,http://www.uniqlo.com/tw/store/goods/400328,33
141,1,http://www.uniqlo.com/tw/store/goods/402727,38
142,0,http://www.uniqlo.com/tw/store/goods/401447,35
142,0,http://www.uniqlo.com/tw/store/goods/400643,58
142,0,http://www.uniqlo.com/tw/store/goods/400662,01
142,-1,http://www.uniqlo.com/tw/store/goods/401641,67
143,0,http://www.uniqlo.com/tw/store/goods/400518,69
143,0,http://www.uniqlo.com/tw/store/goods/400623,67
143,0,http://www.uniqlo.com/tw/store/goods/401850,65
