product_id,rgb hex,ryb hex,percentage of clothes,hue_level
1043,#F0ECE8,#f0f0e8,97.5,13
1044,#FCE5B1,#d2fcb1,100.0,4
1045,#2A4967,#2a3e67,61.6,9
1046,#F2EDE7,#f0f2e7,100.0,13
1047,#CB473B,#cb483b,100.0,1
1048,#FCC65D,#aefc5d,100.0,3
1049,#7D7D6B,#6b7d6b,100.0,5
1050,#263145,#262e45,100.0,9
1051,#EFF0ED,#edf0ee,31.4,13
1052,#E49593,#e49593,99.8,1
1053,#CC2B36,#cc2b36,89.3,1
1054,#194DA1,#193ea1,24.0,9
1055,#5A7EB7,#5a73b7,17.4,9
1056,#4A66A0,#4a5fa0,31.6,10
1057,#E9E8D7,#d8e9d7,16.5,13
1058,#E79A87,#e79e87,90.3,2
1059,#273244,#272e44,100.0,9
1060,#F0F2EC,#ecf2ee,65.7,13
1061,#D2C9B0,#bcd2b0,93.0,4
1062,#212D44,#212944,100.0,10
1063,#D9CBBD,#d9d9bd,100.0,3
1064,#ABABB8,#ababb8,85.7,10
1065,#242D4E,#242b4e,99.2,10
1066,#E4DBC3,#cfe4c3,100.0,4
1067,#22314E,#222d4e,99.8,10
1068,#989796,#989896,30.0,14
1069,#B7B9B7,#b7b9b9,35.3,14
1070,#CF4B3F,#cf4c3f,100.0,1
1071,#F0E1D1,#eef0d1,100.0,3
1072,#8D845F,#6a8d5f,89.5,4
1073,#BBBDC8,#bbbcc8,99.0,14
1074,#34384C,#34374c,56.4,10
1075,#F0EEEC,#f0f0ec,50.4,13
1076,#BFC0BD,#bdc0be,66.7,14
1077,#E7BBB9,#e7bbb9,59.3,1
1078,#F3E9DD,#eff3dd,100.0,3
1079,#FBE5B1,#d0fbb1,86.4,4
1080,#877957,#6a8757,89.0,4
1081,#B5BACB,#b5b9cb,98.6,10
1082,#EDE7D2,#d9edd2,70.2,4
1083,#3E445A,#3e425a,38.2,10
1084,#E1DBC8,#cfe1c8,95.7,4
1085,#BF554E,#bf554e,100.0,1
1086,#23323E,#232c3e,80.8,9
1087,#E3E2E1,#e3e3e1,49.6,13
1088,#DF8C86,#df8c86,100.0,1
1089,#4C6184,#4c5b84,40.9,9
1090,#DD7F7B,#dd7f7b,100.0,1
1091,#E8E8E2,#e2e8e2,38.0,13
1092,#4E74A1,#4e68a1,29.3,9
1093,#E9E9E4,#e4e9e4,84.7,13
1094,#546B8E,#54648e,100.0,9
1095,#3A495F,#3a445f,78.7,9
1096,#E0D4B8,#c9e0b8,100.0,4
1097,#DEA4AD,#dea4ad,90.7,1
1098,#202735,#202535,58.5,10
1099,#E1D1B5,#cee1b5,100.0,3
1100,#CB7A62,#cb8162,100.0,2
1101,#212735,#212535,100.0,10
1102,#EBE5D4,#dcebd4,96.3,4
1103,#B71F30,#b71f30,98.3,1
1104,#212831,#212531,82.6,15
1105,#EAE8D7,#d9ead7,93.2,5
1106,#252724,#242726,96.3,15
1107,#07354C,#07224c,63.4,9
1108,#970F14,#970f14,15.9,1
1109,#E3D9C1,#cfe3c1,76.7,4
1110,#E4E0C5,#c9e4c5,11.0,4
1111,#B3B5B0,#b0b5b2,47.3,14
1112,#E0DACA,#d2e0ca,82.4,4
1113,#363940,#363840,10.5,10
1114,#E6E6DC,#dce6dc,100.0,13
1115,#C2C2B9,#b9c2b9,66.1,14
1116,#E0B1A3,#e0b5a3,98.3,2
1117,#243F59,#243559,57.2,9
1118,#4A6192,#4a5b92,28.7,10
1119,#B6C6D0,#b6bfd0,44.0,9
1120,#BF2834,#bf2834,67.6,1
1121,#3E5678,#3e4e78,100.0,9
1122,#242B39,#242939,93.6,10
1123,#EAE9E5,#e6eae5,96.9,13
1124,#F6E0B1,#d1f6b1,99.4,3
1125,#8E8E69,#698e69,40.1,5
1126,#365678,#364b78,60.5,9
1127,#BEA8A8,#bea8a8,38.8,1
1128,#A3AABB,#a3a8bb,26.0,10
1129,#5B616F,#5b5f6f,41.1,10
1130,#BDBCC6,#bdbcc6,99.2,14
1131,#DFCEBD,#dfdfbd,100.0,3
1132,#1E1D2A,#1e1d2a,99.2,15
1133,#DFA091,#dfa391,82.4,2
1134,#CBDAE6,#cbd4e6,99.6,9
1135,#C6C1CE,#c6c1ce,94.2,13
1136,#EFDEE9,#efdee9,100.0,13
1137,#DDE2E0,#dde0e2,76.7,13
1138,#CCCFDD,#cccedd,86.8,13
1139,#E7E7E7,#e7e7e7,100.0,13
1140,#31302E,#2f312e,65.9,15
1141,#F4C670,#b6f470,100.0,3
1142,#ABC4D9,#abbbd9,67.6,9
1143,#EFEFED,#edefed,51.9,13
1144,#F6CA2B,#63f62b,100.0,4
1145,#2F6553,#2f4f65,96.7,8
1146,#2F354E,#2f344e,98.6,10
1147,#E4E3E2,#e4e4e2,43.2,13
1148,#38383B,#38383b,42.4,14
1149,#FE706C,#fe706c,100.0,1
1150,#797C72,#727c75,99.2,5
1151,#EAEBE6,#e6ebe7,90.5,13
1152,#1E1E1A,#1a1e1a,98.3,15
1153,#E8DC9A,#a8e89a,54.1,4
1154,#ACBADE,#acb6de,72.1,10
1155,#252B37,#252937,99.6,10
1156,#D8D8CA,#cad8ca,72.5,13
1157,#212934,#212634,83.7,9
1158,#EDEEE9,#e9eeea,71.7,13
1159,#B8C5DA,#b8c1da,97.7,9
1160,#F0F1ED,#edf1ee,93.6,13
1161,#CDDFF6,#cdd9f6,47.9,9
1162,#F3F4EF,#eff4f0,99.0,13
1163,#CADBF2,#cad5f2,34.3,9
1164,#F0F0EB,#ebf0eb,99.2,13
1165,#E4E1D9,#dde4d9,78.9,13
1166,#C7B0AB,#c7b1ab,35.1,2
1167,#ABB7BD,#abb2bd,34.7,9
1168,#222A3D,#22283d,100.0,10
1169,#ECEDE8,#e8ede9,99.2,13
1170,#252523,#232523,65.5,15
1171,#C6CCAD,#adccb3,77.3,5
1172,#8DA2D3,#8d9dd3,51.7,10
1173,#262E40,#262c40,100.0,10
1174,#E9C4BD,#e9c5bd,100.0,2
1175,#B2BFD4,#b2bbd4,29.5,9
1176,#1F2D3F,#1f283f,47.1,9
1177,#F2F1ED,#eef2ed,89.7,13
1178,#B8C6D9,#b8c1d9,95.0,9
1179,#F2EFE0,#e3f2e0,34.1,13
1180,#E2BBA8,#e2c4a8,65.9,2
1181,#CD2138,#cd2138,100.0,1
1182,#1F3044,#1f2a44,67.1,9
1183,#ECE6D6,#deecd6,99.2,4
1184,#1E1F23,#1e1e23,93.0,15
1185,#E28975,#e28d75,84.9,2
1186,#C29D41,#74c241,100.0,4
1187,#E8E1CF,#d8e8cf,100.0,4
1188,#26272C,#26262c,72.9,15
1189,#C7B28A,#aac78a,100.0,3
1190,#E19775,#e1a675,100.0,2
1191,#CEB78E,#b1ce8e,100.0,3
1192,#334152,#333c52,84.9,9
1193,#E7E6E5,#e7e7e5,60.1,13
1194,#D4BFA7,#ced4a7,100.0,3
1195,#297A75,#29527a,100.0,8
1196,#353441,#353441,79.1,10
1197,#F6F6F1,#f1f6f1,77.9,13
1198,#2E3337,#2e3137,100.0,9
1199,#E46A69,#e46a69,100.0,1
1200,#F0F0F4,#f0f0f4,69.4,13
1201,#3C3F71,#3c3e71,100.0,10
1202,#EABE75,#bbea75,53.5,3
1203,#7292E6,#728be6,45.5,10
1204,#EEEDEF,#eeedef,51.0,13
1205,#F1ECEA,#f1ecea,100.0,13
1206,#B99149,#87b949,100.0,3
1207,#C5CEFA,#c5ccfa,100.0,10
1208,#262535,#262535,100.0,10
1209,#E6E6E4,#e4e6e4,30.8,13
1210,#FBAB90,#fbb490,100.0,2
1211,#FDECCE,#e8fdce,100.0,3
1212,#CECBE1,#cecbe1,100.0,10
1213,#34323F,#34323f,100.0,10
1214,#E9E9E9,#e9e9e9,100.0,13
1215,#F6E3C3,#e1f6c3,100.0,3
1216,#2D2C35,#2d2c35,95.9,10
1217,#EBEBED,#ebebed,85.1,13
1218,#E0E0EC,#e0e0ec,100.0,13
1219,#2D2B35,#2d2b35,68.8,11
1220,#EFEFED,#edefed,62.8,13
1221,#FED1C7,#fed3c7,99.8,2
1222,#CCC8E0,#ccc8e0,100.0,10
1223,#2D2C32,#2d2c32,100.0,15
1224,#E7E7E9,#e7e7e9,83.9,13
1225,#C8C8E0,#c8c8e0,100.0,10
1226,#2C2830,#2c2830,100.0,15
1227,#E6DFC5,#cde6c5,92.8,4
1228,#D0D5F1,#d0d4f1,100.0,10
1229,#E4E4E4,#e4e4e4,100.0,13
1230,#212121,#212121,100.0,15
1231,#EFD9D3,#efdad3,100.0,2
1232,#757B6C,#6c7b72,99.4,6
1233,#E9E9E9,#e9e9e9,100.0,13
1234,#CE0241,#ce0241,100.0,1
1235,#DB8671,#db8b71,100.0,2
1236,#D1E6F3,#d1ddf3,100.0,9
1237,#252A38,#252838,100.0,10
1238,#EBEBEB,#ebebeb,100.0,13
1239,#313131,#313131,100.0,15
1240,#E9EAE6,#e6eae7,96.5,13
1241,#E6E7E4,#e4e7e5,91.1,13
1242,#1D1E22,#1d1d22,73.6,15
1243,#E9E9DF,#dfe9df,100.0,13
1244,#DBD3C2,#cddbc2,92.8,3
1245,#131315,#131315,36.4,15
1246,#E8E8E8,#e8e8e8,100.0,13
1247,#F3E3ED,#f3e3ed,75.0,13
1248,#FBD5C9,#fbd8c9,100.0,2
1249,#F9EFCF,#dcf9cf,94.8,4
1250,#D1DFF1,#d1daf1,99.8,9
1251,#29282E,#29282e,100.0,15
1252,#EADADB,#eadadb,100.0,13
1253,#B9CFE2,#b9c7e2,86.4,9
1254,#1C262D,#1c222d,86.6,15
1255,#C5B8D6,#c5b8d6,100.0,11
1256,#C5D5EC,#c5d0ec,100.0,9
1257,#CAD9F3,#cad4f3,100.0,9
1258,#1B2D40,#1b2740,66.5,9
1259,#19344E,#192a4e,33.3,9
1260,#233246,#232d46,75.0,9
1261,#D3E1E7,#d3dbe7,100.0,9
1262,#B0C1D9,#b0bcd9,100.0,9
1263,#576C89,#576589,99.4,9
1264,#474D5B,#474b5b,47.5,10
1265,#C58A82,#c58b82,34.9,1
1266,#CBC2BB,#cbc7bb,59.5,3
1267,#1C1E1D,#1c1d1e,43.0,15
1268,#D8CCBD,#d2d8bd,63.6,3
1269,#34332E,#2f342e,29.5,4
1270,#EDEEE9,#e9eeea,97.3,13
1271,#D9D9D1,#d1d9d1,97.7,13
1272,#20211D,#1d211e,85.1,15
1273,#EA5556,#ea5556,100.0,1
1274,#F0A294,#f0a494,95.9,2
1275,#ECDEAB,#bcecab,72.9,4
1276,#04495D,#042a5d,91.7,9
1277,#675E3C,#47673c,60.1,4
1278,#27272F,#27272f,100.0,15
1279,#D0AFC0,#d0afc0,90.5,12
1280,#CFD0C5,#c5d0c6,64.7,13
1281,#2F2D28,#2a2f28,41.9,15
1282,#E1D4BC,#d0e1bc,80.0,3
1283,#EEEFEA,#eaefeb,99.2,13
1284,#B4BBB4,#b4bbbb,87.6,14
1285,#272926,#262928,97.1,15
1286,#E84755,#e84755,100.0,1
1287,#B38153,#b3ab53,51.4,3
1288,#84A3B6,#8497b6,81.8,9
1289,#272B36,#272a36,75.8,10
1290,#7C8388,#7c8088,95.0,9
1291,#E44B31,#e44f31,100.0,1
1292,#145A98,#144198,99.2,9
1293,#2B2932,#2b2932,58.1,15
1294,#E3E3D4,#d4e3d4,100.0,13
1295,#C4A5A1,#c4a5a1,90.5,1
1296,#414F70,#414b70,97.3,10
1297,#1E2637,#1e2437,100.0,10
1298,#D6D7D1,#d1d7d2,100.0,13
1299,#272723,#232723,98.6,15
1300,#DA8225,#d0da25,97.5,3
1301,#01415D,#01265d,100.0,9
1302,#7E7272,#7e7272,100.0,1
1303,#E9EAE6,#e6eae7,98.1,13
1304,#CFD0CA,#cad0cb,100.0,13
1305,#21201C,#1d211c,100.0,15
1306,#F9C8DE,#f9c8de,100.0,1
1307,#D92C38,#d92c38,100.0,1
1308,#D7CAB2,#c6d7b2,100.0,3
1309,#586F5F,#58696f,100.0,7
1310,#253545,#252f45,68.6,9
1311,#064D6C,#062f6c,41.3,9
1312,#EBCFBB,#ebddbb,50.0,2
1313,#EAE6C8,#cceac8,50.0,4
1314,#EACAB6,#ead6b6,49.8,2
1315,#03486F,#032d6f,50.0,9
1316,#E2E0D0,#d2e2d0,57.6,13
1317,#1B1B1B,#1b1b1b,100.0,15
1318,#BE2F2A,#be2f2a,84.9,1
1319,#BCA487,#b2bc87,53.1,3
1320,#95553D,#955e3d,97.3,2
1321,#BED3BF,#bed2d3,100.0,7
1322,#232A36,#232836,100.0,9
1323,#E8EAE7,#e7eae9,90.7,13
1324,#B4B5AD,#adb5ae,92.4,14
