product_id,rgb hex,ryb hex,percentage of clothes,hue_level
251,#000000,#000000,100.0,13
252,#F9F9F9,#f9f9f9,100.0,13
253,#928A87,#928b87,100.0,2
254,#000000,#000000,100.0,13
255,#C1CFD8,#c1c9d8,100.0,9
256,#FCFCFC,#fcfcfc,100.0,13
257,#3D4558,#3d4358,100.0,10
258,#941F32,#941f32,100.0,1
259,#316D89,#315489,100.0,9
260,#F9EE9F,#abf99f,100.0,4
261,#FCFCFC,#fcfcfc,100.0,13
262,#9EA09B,#9ba09d,27.7,13
263,#2B313D,#2b2f3d,100.0,10
264,#010101,#010101,28.0,13
265,#BDC1BC,#bcc1c0,23.7,13
266,#323365,#323265,54.2,10
267,#2F324D,#2f314d,54.2,10
268,#55777A,#55667a,27.7,8
269,#2B334A,#2b314a,47.9,10
270,#2D4978,#2d4178,35.4,9
271,#292E3C,#292c3c,53.1,10
272,#FBFEFE,#fbfcfe,13.7,13
273,#C95D58,#c95d58,33.3,1
274,#F8F8F8,#f8f8f8,46.1,13
275,#F6F6F6,#f6f6f6,24.3,13
276,#92192A,#92192a,100.0,1
277,#BAA787,#a5ba87,100.0,3
278,#20342B,#202c34,100.0,7
279,#2B5A78,#2b4878,100.0,9
280,#E5D48C,#a1e58c,83.4,4
281,#C99EA3,#c99ea3,94.0,1
282,#737D94,#737a94,98.3,10
283,#FEFEFE,#fefefe,100.0,13
284,#B0B0AE,#aeb0ae,27.9,13
285,#595957,#575957,8.5,13
286,#292A3F,#29293f,100.0,10
287,#000000,#000000,100.0,13
288,#FDBBC9,#fdbbc9,100.0,1
289,#D2D2D2,#d2d2d2,100.0,13
290,#63729D,#636e9d,33.0,10
291,#293147,#292f47,62.5,10
292,#284DA4,#2844a4,25.7,10
293,#2C2D3F,#2c2c3f,58.3,10
294,#E1263A,#e1263a,50.0,1
295,#62606D,#62606d,22.9,10
296,#242A40,#242840,62.5,10
297,#F25159,#f25159,62.5,1
298,#F8B5BE,#f8b5be,100.0,1
299,#F3E29C,#b1f39c,100.0,4
300,#94BDDD,#94aedd,100.0,9
301,#DA2B32,#da2b32,100.0,1
302,#E56818,#e59b18,100.0,2
303,#10744E,#104d74,100.0,8
304,#004C66,#002b65,100.0,9
305,#491C21,#491c21,100.0,1
306,#676559,#5b6759,100.0,4
307,#1F2531,#1f2331,100.0,13
308,#F9F9F9,#f9f9f9,100.0,13
309,#9B9B9B,#9b9b9b,95.1,13
310,#393939,#393939,100.0,13
311,#000000,#000000,100.0,13
312,#264E46,#263c4e,100.0,8
313,#651724,#651724,100.0,1
314,#787877,#777877,29.2,13
315,#696966,#666966,39.2,13
316,#FCFCFC,#fcfcfc,100.0,13
317,#000000,#000000,100.0,13
318,#304F3A,#30474f,75.0,7
319,#2D303A,#2d2f3a,25.0,10
320,#F9F9F9,#f9f9f9,27.3,13
321,#FEABBB,#feabbb,66.7,1
322,#2A4F79,#2a4379,100.0,9
323,#2A4F79,#2a4379,100.0,9
324,#34435A,#343e5a,100.0,9
325,#175B42,#17405b,70.8,8
326,#F4F4F4,#f4f4f4,20.8,13
327,#0E0E17,#0e0e17,25.0,13
328,#151222,#151222,25.0,13
329,#2D2E43,#2d2d43,100.0,10
330,#FCFCFC,#fcfcfc,100.0,13
331,#000000,#000000,100.0,13
332,#8E9494,#8e9194,100.0,13
333,#FCFCFC,#fcfcfc,100.0,13
334,#1A2332,#1a2032,100.0,13
335,#0E100D,#0d100f,100.0,13
336,#CCD9E3,#ccd4e3,65.6,9
337,#222834,#222634,100.0,10
338,#FCFCFC,#fcfcfc,100.0,13
339,#A9A9A9,#a9a9a9,100.0,13
340,#000000,#000000,100.0,13
341,#232B3E,#23293e,100.0,10
342,#FAFAFA,#fafafa,100.0,13
343,#525252,#525252,7.5,13
344,#000000,#000000,100.0,13
345,#1D409C,#1d389c,100.0,10
346,#000000,#000000,100.0,13
347,#377159,#375b71,100.0,8
348,#34354A,#34344a,100.0,10
349,#FCFCFC,#fcfcfc,100.0,13
350,#254F3D,#253f4f,75.0,8
351,#2A3A54,#2a3554,83.3,9
352,#F2F2F1,#f1f2f1,15.6,13
353,#FCFCFC,#fcfcfc,100.0,13
354,#D2D3CE,#ced3cf,100.0,13
355,#C3D7D8,#c3cdd8,100.0,8
356,#C3D5E3,#c3cee3,100.0,9
357,#2C3137,#2c2f37,100.0,9
358,#282B40,#282a40,56.3,10
359,#8A97C7,#8a94c7,32.6,10
360,#F9F9F9,#f9f9f9,100.0,13
361,#F2F3ED,#edf3ee,100.0,13
362,#242B33,#242833,100.0,13
363,#1F2B43,#1f2843,100.0,10
364,#5660AE,#565eae,66.7,10
365,#EFD7E9,#efd7e9,91.7,12
366,#CAF0FB,#cadffb,100.0,9
367,#A9B3E4,#a9b1e4,100.0,10
368,#24263A,#24253a,84.7,10
369,#F5F5F2,#f2f5f2,11.3,13
370,#C9C5D7,#c9c5d7,63.9,11
371,#C1C5E4,#c1c4e4,65.1,10
372,#D2D1D6,#d2d1d6,44.8,13
373,#B5C1E5,#b5bee5,46.2,10
374,#9AA9E0,#9aa6e0,100.0,10
375,#383550,#383550,100.0,10
376,#F8F8F6,#f6f8f6,20.1,13
377,#8BABC9,#8ba0c9,78.2,9
378,#3E5C80,#3e5280,74.9,9
379,#25334D,#252f4d,90.5,10
380,#88A7C2,#889cc2,90.8,9
381,#48648A,#485b8a,94.6,9
382,#202C47,#202947,100.0,10
383,#96ACBE,#96a4be,40.4,9
384,#717B8B,#71788b,44.8,9
385,#2D2F36,#2d2e36,98.4,10
386,#688FBA,#6882ba,100.0,9
387,#39496B,#39456b,100.0,10
388,#263151,#262e51,100.0,10
389,#939DB3,#939ab3,59.7,10
390,#676C82,#676b82,76.4,10
391,#39496B,#39456b,100.0,10
392,#263151,#262e51,100.0,10
393,#A6BEDA,#a6b6da,100.0,9
394,#516F95,#516595,100.0,9
395,#6E89B2,#6e81b2,93.8,9
396,#BABCBB,#babbbc,100.0,13
397,#FCFCFC,#fcfcfc,100.0,13
398,#F1DEE2,#f1dee2,100.0,1
399,#CDDDDC,#cdd5dd,100.0,8
400,#C0CDD5,#c0c8d5,100.0,9
401,#232A34,#232734,100.0,9
402,#CED1D0,#cecfd1,35.0,13
403,#B3C1D6,#b3bdd6,35.2,9
404,#D8C7CA,#d8c7ca,10.4,1
405,#8B969D,#8b919d,37.5,9
406,#C5D6E9,#c5d0e9,58.3,9
407,#E2C8C8,#e2c8c8,65.7,1
408,-1
409,#F6D8E0,#f6d8e0,100.0,1
410,#C4E9FB,#c4dafb,100.0,9
411,#C6CFEF,#c6cdef,66.7,10
412,#D9D9D9,#d9d9d9,100.0,13
413,#B2BDDB,#b2badb,100.0,10
414,#2D2D45,#2d2d45,100.0,10
415,#455676,#455176,24.4,10
416,#38151C,#38151c,20.8,1
417,#C8CCD8,#c8cbd8,32.7,10
418,#3D5A7D,#3d507d,24.5,9
419,#23423E,#233342,39.0,8
420,#33486F,#33426f,18.9,10
421,#6B727C,#6b6f7c,17.8,9
422,#DC7C79,#dc7c79,19.0,1
423,#1E1D23,#1e1d23,100.0,13
424,-1
425,#BCD3F5,#bcccf5,100.0,9
426,#676BB0,#676ab0,75.0,10
427,#FFFEFF,#fffeff,25.0,13
